120,155,4,152,160,65,225,111,236,110,200,228,179,248,33,87
222,220,214,181,165,169,42,164,36,237,157,121,49,217,185,9
132,189,238,18,97,197,53,10,61,148,35,234,201,50,106,16
177,66,56,192,171,127,5,41,147,136,202,43,168,76,37,186
134,156,151,140,207,107,128,253,70,67,117,205,114,125,99,149
102,137,72,175,196,68,122,146,109,130,25,204,161,187,216,89
153,12,182,170,34,58,158,213,55,15,188,190,154,195,90,92
144,191,83,14,105,224,210,28,88,39,199,78,82,166,6,209
108,230,219,96,3,104,69,116,139,242,133,24,8,218,63,85
84,21,172,45,20,75,142,184,138,249,95,163,250,79,167,100
52,7,60,30,77,129,29,176,123,0,80,145,126,115,255,159
71,59,119,211,203,17,239,141,93,11,131,73,91,173,38,48
183,51,198,229,247,143,19,252,150,23,246,178,103,74,86,44
212,22,46,2,226,135,233,27,232,113,206,94,180,57,32,124
98,47,215,118,162,26,241,54,223,194,240,81,62,221,235,227
174,251,254,40,13,231,112,1,193,245,64,208,101,243,31,244
